# Assembly Statistics Report
# Assembly name:  AaegL5.0
# Organism name:  Aedes aegypti (yellow fever mosquito)
# Infraspecific name:  strain=LVP_AGWG
# Sex:  male
# Taxid:          7159
# BioSample:      SAMN07177802
# BioProject:     PRJNA318737
# Submitter:      Aedes aegypti Genome Working Group (AGWG)
# Date:           2017-06-22
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NIGP01
# Assembly method: Falcon_UNZIP v. 0.7.0
# Expected final version: yes
# Genome coverage: 110.0x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002204515.1
# RefSeq assembly accession: GCF_002204515.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002204525.1	GCF_002204525.1	Primary Assembly
## GCA_002204535.1	GCF_002204545.1	secondary
## GCA_002204545.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1870673364
all	all	all	all	spanned-gaps	229
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	3818
all	all	all	all	contig-count	6763
all	all	all	all	contig-N50	6938895
all	all	all	all	contig-L50	63
all	all	all	all	total-gap-length	22935
all	all	all	all	molecule-count	4
all	all	all	all	top-level-count	6534
all	all	all	all	component-count	6534
Primary Assembly	all	all	all	total-length	1278715314
Primary Assembly	all	all	all	ungapped-length	1278692379
Primary Assembly	all	all	all	spanned-gaps	229
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	1195030408
Primary Assembly	all	all	assembled-molecule	ungapped-length	1195013073
Primary Assembly	all	all	assembled-molecule	spanned-gaps	173
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	83684906
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	83679306
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	56
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	310827022
Primary Assembly	1	Chromosome	all	ungapped-length	310820022
Primary Assembly	1	Chromosome	all	spanned-gaps	70
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	310827022
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	310820022
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	70
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
