# Assembly Statistics Report
# Assembly name:  Amel_HAv3.1
# Organism name:  Apis mellifera (honey bee)
# Infraspecific name:  strain=DH4
# Sex:  male
# Taxid:          7460
# BioSample:      SAMN09259743
# BioProject:     PRJNA471592
# Submitter:      Uppsala University
# Date:           2018-09-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QIUM02
# Assembly method: FALCON v. 0.5.0; Arcs v. 1.0.1; Links v. 1.8.5; BioNano Solve v. 3.1
# Expected final version: yes
# Genome coverage: 192.0x
# Sequencing technology: PacBio; 10X Chromium; Phase Genomics HiC; Bionano
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_003254395.2
# RefSeq assembly accession: GCF_003254395.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003254405.2	GCF_003254405.2	Primary Assembly
## GCA_003254415.2	GCF_000184175.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	225251012
all	all	all	all	spanned-gaps	51
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	228
all	all	all	all	contig-N50	5382476
all	all	all	all	contig-L50	13
all	all	all	all	total-gap-length	1313614
all	all	all	all	molecule-count	17
all	all	all	all	top-level-count	177
all	all	all	all	component-count	228
Primary Assembly	all	all	all	total-length	225234541
Primary Assembly	all	all	all	ungapped-length	223920927
Primary Assembly	all	all	all	spanned-gaps	51
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	220774706
Primary Assembly	all	all	assembled-molecule	ungapped-length	219461092
Primary Assembly	all	all	assembled-molecule	spanned-gaps	51
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	1595893
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	1595893
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	2863942
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	2863942
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	LG1	Linkage Group	all	total-length	27754200
Primary Assembly	LG1	Linkage Group	all	ungapped-length	27674710
Primary Assembly	LG1	Linkage Group	all	spanned-gaps	9
Primary Assembly	LG1	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG1	Linkage Group	assembled-molecule	total-length	27754200
Primary Assembly	LG1	Linkage Group	assembled-molecule	ungapped-length	27674710
Primary Assembly	LG1	Linkage Group	assembled-molecule	spanned-gaps	9
Primary Assembly	LG1	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG1	Linkage Group	unlocalized-scaffold	spanned-gaps	0
